sample,class,cluster_0,cluster_1,cluster_2
SW_MD_3-10_20250415_raw_swir,MD,39.5464927792514,41.44193928676687,19.011567933981727
SW_MD_3-10_20250416_raw_swir,MD,45.0545348981877,34.78414133454983,20.161323767262473
SW_MD_3-10_20250417_raw_swir,MD,41.454037049982524,31.468455085634396,27.077507864383083
SW_MD_3-10_20250418_raw_swir,MD,47.47846951454647,32.46283045546082,20.058700029992714
SW_MD_3-11_20250414_raw_swir,MD,27.795168625598016,47.69751737444136,24.507313999960626
SW_MD_3-11_20250415_raw_swir,MD,34.40262423584042,43.15078705774597,22.446588706413614
SW_MD_3-11_20250416_raw_swir,MD,46.804496345726086,33.61137591356847,19.584127740705433
SW_MD_3-11_20250417_raw_swir,MD,44.08237365216753,36.2521088535172,19.665517494315267
SW_MD_3-11_20250418_raw_swir,MD,32.14729832724939,37.576717878775725,30.275983793974888
SW_MD_3-12_20250414_raw_swir,MD,33.93141172362959,34.63358808239904,31.43500019397137
SW_MD_3-12_20250415_raw_swir,MD,33.07473280237692,35.86844385754962,31.056823340073453
SW_MD_3-12_20250416_raw_swir,MD,38.80942005645971,34.205490612152104,26.98508933138819
SW_MD_3-12_20250417_raw_swir,MD,27.889613647767185,38.067235323632715,34.0431510286001
SW_MD_3-12_20250418_raw_swir,MD,42.05450178709885,34.45791334934473,23.48758486355642
SW_MD_3-13_20250414_raw_swir,MD,27.719461216906645,55.325592196934515,16.954946586158847
SW_MD_3-13_20250415_raw_swir,MD,48.312505618987686,46.66007372111841,5.027420659893914
SW_MD_3-13_20250416_raw_swir,MD,30.913303385094267,53.777722754766366,15.308973860139366
SW_MD_3-13_20250417_raw_swir,MD,43.4767906547802,44.203811865969875,12.319397479249924
SW_MD_3-13_20250418_raw_swir,MD,41.846036532529205,44.82513604381131,13.328827423659492
SW_MD_3-14_20250414_raw_swir,MD,33.296392313629255,49.72986879341394,16.9737388929568
SW_MD_3-14_20250415_raw_swir,MD,31.159635277596472,53.27439229415138,15.565972428252142
SW_MD_3-14_20250416_raw_swir,MD,34.47947674300873,49.75598890306381,15.764534353927464
SW_MD_3-14_20250417_raw_swir,MD,25.819101078864605,49.40682352004459,24.77407540109081
SW_MD_3-14_20250418_raw_swir,MD,35.71350404902604,45.949150069307656,18.3373458816663
SW_MD_3-15_20250414_raw_swir,MD,25.169476794715802,44.22562141491396,30.604901790370242
SW_MD_3-15_20250415_raw_swir,MD,34.111551645157725,42.97471053753929,22.913737817302984
SW_MD_3-15_20250416_raw_swir,MD,35.429564793070845,38.59831040897862,25.97212479795053
SW_MD_3-15_20250417_raw_swir,MD,29.241134976117422,43.99297757251763,26.765887451364947
SW_MD_3-15_20250418_raw_swir,MD,43.823240927159155,33.13372223082615,23.043036842014693
SW_MD_3-16_20250414_raw_swir,MD,21.98231464386357,49.50344961616947,28.51423573996696
SW_MD_3-16_20250415_raw_swir,MD,26.88640835991043,43.099002510687384,30.014589129402186
SW_MD_3-16_20250416_raw_swir,MD,21.797702770406932,43.24098643558293,34.96131079401013
SW_MD_3-16_20250417_raw_swir,MD,23.52169947556434,37.90377745686707,38.57452306756859
SW_MD_3-16_20250418_raw_swir,MD,33.30129232083734,36.956103812880485,29.742603866282174
SW_MD_3-17_20250414_raw_swir,MD,26.035616019565882,48.230663405686336,25.73372057474778
SW_MD_3-17_20250415_raw_swir,MD,40.45387071191817,53.793440022774874,5.752689265306953
SW_MD_3-17_20250416_raw_swir,MD,29.339928298920647,55.22708537029581,15.432986330783535
SW_MD_3-17_20250417_raw_swir,MD,40.737235283181505,47.17325536194162,12.089509354876874
SW_MD_3-17_20250418_raw_swir,MD,24.696936487329502,54.089460639678975,21.21360287299152
SW_MD_3-18_20250414_raw_swir,MD,23.909404044874634,46.41214616968461,29.67844978544076
SW_MD_3-18_20250415_raw_swir,MD,28.54128874516918,51.44727502168941,20.011436233141414
